threshold_pct,period,signals,bets,unfilled,partial,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi,pnl_usd,capital_usd
83,holdout,7029,6773,256,5479,0.8578419324308172,0.8594419,0.0015999692375720136,-0.0062697672097831005,-0.020633952082943125,0.00829821381762865,-1451.9975204507664,231587.15018719126
84,dev,17687,16986,701,13557,0.8623400788114263,0.85891324,-0.0034268561574759505,-0.006168265120848512,-0.01506093671725656,0.00302392205416174,-3848.648128597556,623943.3703310298
84,holdout,7030,6757,273,5472,0.864694641279772,0.86562085,0.0009261963700725956,-0.00972432281138037,-0.02404681134616116,0.00442970386981851,-2249.9074107206916,231369.0582225043
85,dev,17683,16941,742,13419,0.8704909485993001,0.8684257,-0.002065235831458723,-0.005154119069389657,-0.013814886801623082,0.0030895011920997555,-3262.699745914784,633027.6235355095
85,holdout,7027,6735,292,5483,0.8723614933496063,0.8733482,0.0009866877936750495,-0.004739965572992842,-0.018717151870442067,0.007649061293667801,-1086.0389082571455,229123.79668855155
86,dev,17677,16958,719,13459,0.8788590906920516,0.8766954,-0.0021637256725917857,-0.00499531696065987,-0.01351176681473882,0.0031013182007896523,-3156.8491984482407,631961.7400276496
86,holdout,7026,6718,308,5408,0.8803729567389539,0.88091695,0.0005439828263928969,-0.005796032804828157,-0.018912680872765403,0.007695928841859439,-1356.7444991988195,234081.57698290417
87,dev,17671,16911,760,13412,0.8858152164820275,0.884513,-0.001302177631575157,-0.0029669697198624694,-0.011052469042006538,0.0045032410553977244,-1884.2541214903924,635076.9638382879
87,holdout,7024,6714,310,5383,0.8881775623995846,0.88873994,0.0005623839811125361,-0.006483886269770349,-0.019207974210146462,0.00639773688025444,-1530.682801919399,236074.89987229742
88,dev,17667,16875,792,13383,0.8937248955505865,0.8913185,-0.002406377032068041,-0.0027074834394044565,-0.010332903163319257,0.005415592131713767,-1733.4842297940204,640256.6326224037
