month,rule,delay,trades,pnl_usd,capital_usd,in_play_share,scope
2026-01,random,30,1769,-1923.626536681665,32306.762845861682,0.46014697569248164,soccer
2026-02,z,0,1647,2190.087690457439,31967.23841064113,0.7753491196114147,soccer
2026-02,z,5,1787,2913.2662658300733,30677.067380909524,0.7884722999440403,soccer
2026-02,z,30,1592,718.0770773304704,31936.36656941013,0.7795226130653267,soccer
2026-02,random,0,1772,-1328.1572965874113,34840.317453675874,0.6659142212189616,soccer
2026-02,random,5,1777,-300.41798513788694,35004.41556352837,0.6510973550928532,soccer
2026-02,random,30,1805,-2421.117702998228,34812.13072754015,0.6670360110803324,soccer
2026-03,z,0,416,-706.8420611514875,6705.99415332431,0.6658653846153846,soccer
2026-03,z,5,426,-830.6807913301584,6288.603372098547,0.6924882629107981,soccer
2026-03,z,30,399,-154.474877648061,7443.000837912026,0.6942355889724311,soccer
2026-03,random,0,664,927.9679404050952,10290.712748845639,0.49849397590361444,soccer
2026-03,random,5,635,652.6794804455662,10102.691094903894,0.5149606299212598,soccer
2026-03,random,30,591,527.0669311269921,10612.160838175323,0.5076142131979695,soccer
2026-04,z,0,1827,-1370.7444306310526,31659.496315117736,0.7230432402846196,soccer
2026-04,z,5,1876,-729.3438193055581,31144.382856682467,0.714818763326226,soccer
2026-04,z,30,1830,-1847.4441670602625,31494.97411207731,0.7032786885245902,soccer
2026-04,random,0,634,-130.91964898676406,10676.77970533598,0.7618296529968455,soccer
2026-04,random,5,631,57.862581902543496,11652.52521510838,0.7654516640253566,soccer
2026-04,random,30,607,-985.7969410861613,11063.197267742638,0.7627677100494233,soccer
2026-05,z,0,2271,-357.4001233828718,35100.732942593764,0.9189784236019375,soccer
2026-05,z,5,2243,1757.6784960976092,35362.772497428865,0.920196165849309,soccer
2026-05,z,30,2071,474.965442106979,36564.19566195931,0.9150169000482858,soccer
2026-05,random,0,2697,-1632.2693624796755,55946.968099781414,0.7482387838338895,soccer
2026-05,random,5,2742,-570.3703451640392,55318.39316437948,0.7545587162654996,soccer
2026-05,random,30,3086,-961.1777606377259,54846.40438413009,0.7644199611147116,soccer
2026-06,z,0,436,-912.8983253778157,9947.420301118325,0.7958715596330275,soccer
2026-06,z,5,436,-658.2554494104493,10123.135591178681,0.7912844036697247,soccer
2026-06,z,30,371,-520.3479317753994,10282.987223406284,0.77088948787062,soccer
2026-06,random,0,490,-717.5892311349088,11701.107609810151,0.4326530612244898,soccer
2026-06,random,5,464,-694.6582701599236,11691.555038537708,0.4482758620689655,soccer
2026-06,random,30,441,-68.89224378492344,11525.321735927151,0.4036281179138322,soccer
2026-07,z,0,343,60.550851062280984,8452.267140324053,0.956268221574344,soccer
2026-07,z,5,353,-301.0517179053599,8930.81369257583,0.9575070821529745,soccer
2026-07,z,30,366,57.27026620359857,8110.101032756396,0.953551912568306,soccer
2026-07,random,0,342,-1055.820397678099,7103.209661174394,0.4502923976608187,soccer
2026-07,random,5,329,-892.5451313947755,7194.687734835175,0.45896656534954405,soccer
2026-07,random,30,338,11.772268337188905,8108.802855031602,0.46745562130177515,soccer
2026-08,z,0,1573,-518.0429100388076,27441.47713557456,0.9828353464717101,soccer
2026-08,z,5,1532,-1766.4946008297336,27814.550247603667,0.9843342036553525,soccer
2026-08,z,30,1331,-702.3949459616379,28794.644564486443,0.9797145003756574,soccer
2026-08,random,0,642,-1660.8606823477853,20496.760019250585,0.9376947040498442,soccer
2026-08,random,5,644,-1770.908642810526,20254.605942335736,0.9409937888198758,soccer
2026-08,random,30,632,-621.7195859678864,20303.43352584126,0.939873417721519,soccer
2025-07,z,0,250,-210.6757946408236,7776.710092031087,0.596,tennis
2025-07,z,5,269,-263.7665433812553,7776.710092031087,0.6059479553903345,tennis
2025-07,z,30,241,799.0936207608601,7681.136895282041,0.6141078838174274,tennis
2025-07,random,0,250,-210.6757946408236,7776.710092031087,0.596,tennis
2025-07,random,5,269,-263.7665433812553,7776.710092031087,0.6059479553903345,tennis
2025-07,random,30,241,799.0936207608601,7681.136895282041,0.6141078838174274,tennis
2025-08,z,0,236,120.29355332295353,9872.987693800535,0.5169491525423728,tennis
2025-08,z,5,240,-468.5258631062966,9872.987693800535,0.5125,tennis
2025-08,z,30,229,-153.7266263689358,9857.987694287162,0.4890829694323144,tennis
2025-08,random,0,233,1223.7344626034874,9554.157996461414,0.6351931330472103,tennis
2025-08,random,5,235,796.8661317292821,9508.95749222727,0.6382978723404256,tennis
2025-08,random,30,240,797.6520701287395,9505.787495543984,0.625,tennis
2025-09,z,0,66,15.642430975635833,2874.5601752176954,0.3333333333333333,tennis
2025-09,z,5,69,36.62083351374791,2861.510173657757,0.36231884057971014,tennis
2025-09,z,30,68,-40.27504543772402,2808.220673501278,0.35294117647058826,tennis
2025-09,random,0,60,-465.6461737079508,2801.0000000474975,0.43333333333333335,tennis
2025-09,random,5,62,-457.49886742184594,2801.0000000474975,0.43548387096774194,tennis
2025-09,random,30,61,-355.59010087532715,2801.0000000474975,0.4098360655737705,tennis
2025-10,z,0,403,670.6935256162479,12756.495273032859,0.5806451612903226,tennis
2025-10,z,5,407,456.56866412938143,12809.513819510556,0.5847665847665847,tennis
2025-10,z,30,427,-648.2489019782558,12445.72100625531,0.5925058548009368,tennis
2025-10,random,0,598,1962.309353654142,17183.230609606868,0.6789297658862876,tennis
2025-10,random,5,591,2239.4082124812185,17197.89883035323,0.6937394247038917,tennis
2025-10,random,30,605,3106.744647725785,16889.0331372573,0.6710743801652893,tennis
2025-11,z,0,274,391.7679241146337,8394.974206347146,0.4343065693430657,tennis
2025-11,z,5,270,527.1664961142328,8374.874204853522,0.43703703703703706,tennis
2025-11,z,30,263,353.8505152868761,8401.089477850954,0.41064638783269963,tennis
2025-11,random,0,282,953.7575086566262,8235.353428829681,0.5141843971631206,tennis
2025-11,random,5,257,1269.970203685088,8277.70413020581,0.4708171206225681,tennis
2025-11,random,30,277,1287.1275966676394,8147.2946743867815,0.5126353790613718,tennis
2025-12,z,0,63,61.79132800997185,1500.0,0.47619047619047616,tennis
2025-12,z,5,62,-161.09251365345165,1428.1200003623962,0.4838709677419355,tennis
2025-12,z,30,60,78.17702556168365,1403.3300000429153,0.48333333333333334,tennis
2025-12,random,0,24,-244.01452436148267,807.0291298634213,0.4166666666666667,tennis
