sport,bucket,fills,usd,capital_usd,avg_price,won_pct,fills_won_pct,edge_pts,roi_after_fee,ci_lo,ci_hi
soccer,"[0.9, 0.925)",213001,58525128.0,58672252.0,0.9143511652946472,0.8723538517951965,0.8673856258392334,-0.041997313499450684,-0.04815309884293942,-0.15013222628190578,0.023504573606611595
soccer,"[0.925, 0.95)",315505,84648456.0,84794808.0,0.9396312832832336,0.9284677505493164,0.927513062953949,-0.011163532733917236,-0.01350605109867349,-0.05467947791149987,0.0194935767871351
soccer,"[0.95, 0.96)",105163,31218380.0,31254934.0,0.958257794380188,0.9512192606925964,0.9486701488494873,-0.007038533687591553,-0.008476792766963132,-0.039418610262946636,0.014314174917449485
soccer,"[0.96, 0.97)",57366,19848168.0,19868070.0,0.9658944606781006,0.9629891514778137,0.9691454768180847,-0.0029053092002868652,-0.00403555977700518,-0.031969864856588155,0.014798660752874901
soccer,"[0.97, 0.98)",107220,43852860.0,43888528.0,0.9739802479743958,0.9774898886680603,0.9715538024902344,0.0035096406936645508,0.0027593986126374635,-0.01272858314273423,0.013721739396674227
soccer,"[0.98, 0.99)",107850,45205028.0,45225884.0,0.9842851161956787,0.9862269163131714,0.9832174181938171,0.0019418001174926758,0.00150246832035895,-0.006572609890715516,0.007941248354050181
soccer,"[0.99, 1.0)",160407,103185952.0,103196976.0,0.9959051609039307,0.9979314208030701,0.995872974395752,0.0020262598991394043,0.0019336565436993854,0.0003781292482480293,0.003100874933338233
cricket,"[0.5, 0.55)",78230,7125248.5,7219372.0,0.5209434032440186,0.5495946407318115,0.535625696182251,0.02865123748779297,0.040768732647033276,-0.02411478020055901,0.10862522124040054
cricket,"[0.55, 0.6)",75035,7807476.0,7898059.0,0.5710214376449585,0.5552878975868225,0.5540081262588501,-0.015733540058135986,-0.03971769286158418,-0.13966956981357692,0.05726069266922405
cricket,"[0.6, 0.65)",72447,8857701.0,8942913.0,0.6241640448570251,0.6212279200553894,0.6050906181335449,-0.002936124801635742,-0.013221432851819698,-0.0999914412146242,0.07401757175723452
cricket,"[0.65, 0.7)",56434,7319732.5,7378975.0,0.6799100637435913,0.6937596201896667,0.6773044466972351,0.01384955644607544,0.011517218853790475,-0.07640689303226848,0.09558806152972642
cricket,"[0.7, 0.75)",39674,6139507.0,6182951.0,0.724781334400177,0.7277730703353882,0.7080455422401428,0.0029917359352111816,-0.002384472728790208,-0.08640828676112401,0.07518033504092836
cricket,"[0.75, 0.8)",44448,7069199.5,7110438.5,0.7719821929931641,0.7715241312980652,0.7450054287910461,-0.00045806169509887695,-0.0065880286792439026,-0.07876416018276887,0.06177670550749799
