side,threshold,sport,period,signals,bets,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi,pnl_usd,in_play_share
underdog <= 7%,0.925,hockey,all,1531,1500,0.051672607542015615,0.041333332657814026,-0.01033927488420159,-0.32400553126392784,-0.6121775588149273,0.008326583395704171,-3840.679414074229,0.994
underdog <= 7%,0.925,other,dev,87,83,0.06133544451770294,0.048192769289016724,-0.013142675228686215,1.3017508404645755,-0.9887445196307425,5.265019647971591,1118.6768081303192,0.963855421686747
underdog <= 7%,0.925,other,holdout,29,29,0.03823130571379744,0.03448275849223137,-0.003748547221566069,-0.9763185214632605,-1.0,-0.890866234585068,-412.2709314575082,1.0
underdog <= 7%,0.925,other,all,116,112,0.05535312286312027,0.0446428582072258,-0.010710264655894468,0.5511759107260937,-0.9863823413545598,3.540862956326032,706.4058766728115,0.9732142857142857
underdog <= 7%,0.925,ALL,dev,17892,17629,0.055967120740933435,0.04762039706110954,-0.008346723679823892,-0.15650791051131108,-0.2761027897662755,-0.028802551760123134,-26507.614785054735,0.9841738045266323
underdog <= 7%,0.925,ALL,holdout,7116,7032,0.054577148177759535,0.0487770177423954,-0.005800130435364134,-0.11881823763989433,-0.3147167419985844,0.10067721056085312,-9347.267261057561,0.9897610921501706
underdog <= 7%,0.925,ALL,all,25008,24661,0.055570774807506614,0.04795020446181297,-0.0076205703456936405,-0.14455410837147353,-0.25205069438461514,-0.02903306312273195,-35854.88204611229,0.9857670005271482
favorite >= 95%,0.95,tennis,dev,3381,2973,0.9559731334397739,0.953582227230072,-0.0023909062097018374,-0.0008182902047372457,-0.011226275374129704,0.00948564806926409,-98.83608753278651,0.9818365287588294
favorite >= 95%,0.95,tennis,holdout,2544,2245,0.954851950489333,0.9512249231338501,-0.0036270273554829258,-0.005454279782556165,-0.018191516956003302,0.007565325628306784,-480.32627317259556,0.9924276169265034
favorite >= 95%,0.95,tennis,all,5925,5218,0.9554907540369875,0.9525680541992188,-0.0029226998377687163,-0.002773131674031529,-0.011123009159273708,0.004973487263763854,-579.1623607053823,0.9863932541203526
favorite >= 95%,0.95,esports,dev,2590,2431,0.9504693779912028,0.9545454382896423,0.004076060298439543,0.002884107244462138,-0.008863880702588365,0.014563686875649948,342.3467378871501,0.9851912793089264
favorite >= 95%,0.95,esports,holdout,1319,1218,0.9512885799157405,0.9507389068603516,-0.0005496730553888884,-0.003938045019024293,-0.021938006969866246,0.011345894064122319,-215.0274587884462,0.993431855500821
favorite >= 95%,0.95,esports,all,3909,3649,0.9507428194666994,0.9532748460769653,0.0025320266102659694,0.0007346598900573397,-0.009004331395900228,0.01014157195614003,127.31927909870399,0.987941901890929
favorite >= 95%,0.95,basketball,dev,2659,2579,0.9525640489935828,0.9542458057403564,0.0016817567467736216,-0.0032896949884250767,-0.01552586130531692,0.009198665531519696,-444.513111700139,0.9895308259015122
favorite >= 95%,0.95,basketball,holdout,154,152,0.9525902337933841,0.9605262875556946,0.007936053762310435,-0.011962676080626723,-0.07417570682296522,0.03733268822087945,-76.36742447107949,1.0
favorite >= 95%,0.95,basketball,all,2813,2731,0.9525655063680134,0.9545953869819641,0.0020298806139507075,-0.003680960156999456,-0.016312486313392074,0.007981015261163465,-520.8805361712185,0.9901135115342365
favorite >= 95%,0.95,american_football,dev,780,726,0.9486403844778531,0.9559228420257568,0.007282457547903687,0.004868766818710763,-0.016780983377166624,0.024439730682896354,200.94786403161595,0.9862258953168044
favorite >= 95%,0.95,american_football,holdout,104,99,0.9583098792066478,0.9343434572219849,-0.023966421984662922,-0.04955781611422174,-0.1387365970210877,0.02306126168729371,-190.86295222215344,0.98989898989899
favorite >= 95%,0.95,american_football,all,884,825,0.9498007238453084,0.95333331823349,0.0035325943881815425,0.0002234924856163207,-0.02053713139420581,0.01945580587109688,10.084911809462568,0.9866666666666667
favorite >= 95%,0.95,soccer,dev,3654,3236,0.9532921565362749,0.9431396722793579,-0.01015248425691695,-0.007951733152030798,-0.01924139362946561,0.00353746261740371,-833.4094735889089,0.9749690976514215
