selected,active_p2,p2_markets,p2_staked,p2_roi,p2_roi_net_fee,copy_d0_roi,copy_d0_ci,copy_d0_trades,copy_d5_roi,copy_d5_ci,copy_d5_trades,copy_d30_roi,copy_d30_ci,copy_d30_trades,copy_d30_prop_roi,copy_d30_prop_ci,copy_d60_roi,copy_d60_ci,copy_d60_trades,rule,p1_roi,p1_median_z,family
9.0,5,63.0,17843.061310008823,-0.06049404496244505,-0.060631852534187194,-0.1857119532530916,-0.526..+0.196,89.0,-0.3579901632901845,-0.634..-0.018,89.0,-0.18279960975586845,-0.535..+0.229,84.0,-0.04095396734510812,-0.196..+0.127,-0.20075550586132393,-0.588..+0.400,84.0,fdr,0.16235186308699553,4.157546051288832,american_football
,36650,,,0.008533347204993578,0.003644169235547357,,,,,,,,,,,,,,,all takers,,,american_football
50.0,21,2162.0,9073944.641989594,0.03572408644714746,0.029557950828021998,-0.028805236013717823,-0.105..+0.050,3004.0,-0.01578094722491613,-0.097..+0.064,2914.0,-0.05272713804039158,-0.134..+0.031,3015.0,0.026877991381578852,-0.016..+0.071,-0.0057965352381814375,-0.098..+0.107,2957.0,pnl,0.39119944376392274,1.1747266646768697,cricket
7.0,7,1328.0,5164737.473350036,0.014866040829135665,0.010688097695401208,-0.054478284788602414,-0.135..+0.028,2724.0,-0.05591560168345594,-0.135..+0.031,2745.0,-0.09828752866105676,-0.177..-0.019,2766.0,-0.006036619253441295,-0.043..+0.031,-0.10660955182788379,-0.178..-0.029,2729.0,roi,0.03732504596291887,0.7637516677020009,cricket
7.0,7,1328.0,5164737.473350036,0.014866040829135665,0.010688097695401208,-0.054478284788602414,-0.135..+0.028,2724.0,-0.05591560168345594,-0.135..+0.031,2745.0,-0.09828752866105676,-0.177..-0.019,2766.0,-0.006036619253441295,-0.043..+0.031,-0.10660955182788379,-0.178..-0.029,2729.0,z,0.03732504596291887,0.7637516677020009,cricket
7.0,7,1328.0,5164737.473350037,0.014866040829135662,0.010688097695401204,-0.054478284788602414,-0.135..+0.028,2724.0,-0.05591560168345594,-0.135..+0.031,2745.0,-0.09828752866105676,-0.177..-0.019,2766.0,-0.006036619253441295,-0.043..+0.031,-0.10660955182788379,-0.178..-0.029,2729.0,win_rate,0.03732504596291887,0.7637516677020009,cricket
50.0,22,2373.0,11495766.012989981,0.024373374060102534,0.019765795757639294,-0.034978715136233386,-0.105..+0.043,2877.0,-0.024355606505006733,-0.093..+0.051,2816.0,-0.04336086340531441,-0.112..+0.026,2901.0,0.03021561916748727,-0.020..+0.079,-0.051402831810251376,-0.115..+0.018,2870.0,whales,-0.035958790288047694,-0.0987574800929703,cricket
0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,fdr,,,cricket
,35622,,,0.010476261284171565,0.0027107959414597008,,,,,,,,,,,,,,,all takers,,,cricket
50.0,31,1069.0,7845954.566585483,-0.06578744482612343,-0.06905326467289101,0.014681243668731749,-0.078..+0.106,1020.0,-0.02722931081571872,-0.108..+0.054,1052.0,-0.06751963297023875,-0.155..+0.020,1028.0,0.08550602449407885,-0.083..+0.343,-0.04788413459212378,-0.134..+0.046,1040.0,pnl,0.26703229244158083,0.9128934940138382,mma_boxing
50.0,43,2781.0,3621133.4299096595,0.01322814029560176,0.009311790379095164,0.05445552041238928,-0.043..+0.157,1270.0,0.0491134508890592,-0.050..+0.158,1307.0,0.03177167365887584,-0.061..+0.125,1245.0,-0.02541902085302735,-0.092..+0.048,0.0371056468647839,-0.051..+0.132,1262.0,roi,0.16826243170535457,0.8201390942164064,mma_boxing
