sport,pt,fills,games,usd,capital_usd,avg_price,won_pct,edge_pts,roi,ci_lo,ci_hi
soccer,73,117083,3939,36989348.0,37243128.0,0.7308769822120667,0.752983570098877,0.022106587886810303,0.023274350049694373,-0.1494263950803621,0.15166087270219172
soccer,74,120031,3876,34015908.0,34255876.0,0.741190493106842,0.7729820013046265,0.031791508197784424,0.035562097187173625,-0.08964720183864038,0.13345925699082326
soccer,75,154659,4093,33979176.0,34189640.0,0.7508296370506287,0.8375367522239685,0.08670711517333984,0.10866821308138572,-0.00044807209955659554,0.18409322525886934
soccer,76,122556,3913,31824534.0,32023346.0,0.7609288096427917,0.7779552936553955,0.01702648401260376,0.016088797081966207,-0.08605616156767562,0.10315681755377894
soccer,77,147505,4009,38065624.0,38289244.0,0.7712875008583069,0.7456868886947632,-0.0256006121635437,-0.03874807855308275,-0.21036927533138025,0.09912585306999998
soccer,78,133689,4090,30597944.0,30783456.0,0.7809162735939026,0.8304644227027893,0.04954814910888672,0.05710557192739067,-0.021825794899536063,0.11786738137019387
soccer,79,86666,3977,33819928.0,33992768.0,0.7908869385719299,0.8439908027648926,0.053103864192962646,0.061842938946691454,-0.03392593764442979,0.12805264098328056
soccer,80,144262,4132,28073584.0,28229544.0,0.8009414672851562,0.833400309085846,0.0324588418006897,0.03475260580688699,-0.028564988089433353,0.08629728594490738
soccer,81,106015,4021,24273608.0,24412222.0,0.8115699887275696,0.7976886034011841,-0.013881385326385498,-0.022638956508019472,-0.10713524555505116,0.04854110751889383
soccer,82,128341,4080,28986568.0,29135496.0,0.8210466504096985,0.8237260580062866,0.0026794075965881348,-0.0018607653058398145,-0.11153030878142935,0.08392267468998504
soccer,83,114783,4032,29940080.0,30079214.0,0.8310520052909851,0.8053719401359558,-0.025680065155029297,-0.03546128884367609,-0.13728029685121465,0.0468751229007003
soccer,84,132647,4185,29881384.0,30014132.0,0.8409828543663025,0.7498365044593811,-0.09114634990692139,-0.11242794471655908,-0.28788809017467915,0.030888959688397624
soccer,85,110036,4213,25534852.0,25634554.0,0.8513028621673584,0.8440902829170227,-0.007212579250335693,-0.012294034688809742,-0.08460627149549682,0.047330404502825385
soccer,86,108088,4049,30868216.0,30986758.0,0.8609894514083862,0.8072212338447571,-0.05376821756362915,-0.06607172930036594,-0.27502567272613765,0.07580465455072431
soccer,87,102301,4142,23213780.0,23293068.0,0.8714608550071716,0.8422942757606506,-0.029166579246520996,-0.03683770150173835,-0.11682154541650916,0.030130746360832662
soccer,88,103181,4186,24337596.0,24415748.0,0.8816129565238953,0.869780421257019,-0.01183253526687622,-0.016655402670430846,-0.0975771836220936,0.037828922176057544
soccer,89,103560,4133,29555840.0,29646354.0,0.8915529847145081,0.9136889576911926,0.02213597297668457,0.0217689124106339,-0.015873947915379206,0.051257995064245575
soccer,90,138270,4445,32746004.0,32835056.0,0.9021075963973999,0.8771594166755676,-0.024948179721832275,-0.03027503477907241,-0.11182695924476789,0.02715512012967695
soccer,91,83590,4173,25077046.0,25141704.0,0.9116880893707275,0.9023534655570984,-0.00933462381362915,-0.01279998403526612,-0.08229074061678365,0.03363435231829972
soccer,92,104048,4288,28155270.0,28219652.0,0.9215196967124939,0.8498111963272095,-0.07170850038528442,-0.0800236159392344,-0.2331565702191677,0.02205136503007375
soccer,93,112020,4315,29443152.0,29501186.0,0.9318144917488098,0.9271303415298462,-0.004684150218963623,-0.006974450461392998,-0.07250009905426288,0.03403982093407624
soccer,94,107993,4336,30584752.0,30635248.0,0.9421741962432861,0.9443864226341248,0.002212226390838623,0.0006793422037375216,-0.02725423671870508,0.024581466809600015
soccer,95,114350,4493,34499056.0,34544712.0,0.9526261687278748,0.9319006204605103,-0.020725548267364502,-0.02312400683602254,-0.0793841163441644,0.018601154990195237
soccer,96,127452,4453,36567864.0,36606984.0,0.9631993770599365,0.9530746340751648,-0.010124742984771729,-0.011609565604872774,-0.04460771427120879,0.010518274304362698
soccer,97,107220,4391,43852860.0,43888528.0,0.9739802479743958,0.9774898886680603,0.0035096406936645508,0.0027593986126374635,-0.01272858314273423,0.013721739396674227
soccer,98,107850,4717,45205028.0,45225884.0,0.9842851161956787,0.9862269163131714,0.0019418001174926758,0.00150246832035895,-0.006572609890715516,0.007941248354050181
soccer,99,160407,4894,103185952.0,103196976.0,0.9959051609039307,0.9979314208030701,0.0020262598991394043,0.0019336565436993854,0.0003781292482480293,0.003100874933338233
cricket,50,18964,498,1802175.25,1825573.375,0.5009680390357971,0.5321602821350098,0.031192243099212646,0.04834415700327912,-0.061478435197219926,0.14547007006312784
cricket,51,13195,460,1390339.625,1408896.5,0.5109691023826599,0.5012451410293579,-0.009723961353302002,-0.03194043074636372,-0.17677883790216,0.09347692820055584
cricket,52,16485,469,1429820.875,1449491.625,0.5215467810630798,0.568175733089447,0.04662895202636719,0.07421666193827954,-0.03949908639646718,0.18877801750659584
cricket,53,19822,493,1597919.75,1617415.125,0.5323982834815979,0.5500996708869934,0.017701387405395508,0.020749999217313266,-0.09703100849784259,0.139966728879441
cricket,54,13096,493,1324040.0,1339762.375,0.5414437055587769,0.587723970413208,0.04628026485443115,0.07266622069532745,-0.0443089829291725,0.1900863308947169
cricket,55,18822,509,1812895.375,1834966.0,0.5510383248329163,0.5051994919776917,-0.04583883285522461,-0.0945165254537698,-0.20280774577532112,0.020678544760800385
cricket,56,16924,518,1849205.875,1871115.125,0.5610814690589905,0.5342801809310913,-0.02680128812789917,-0.05892871993775491,-0.18754572225442492,0.06713882728711312
cricket,57,14481,526,1671067.75,1690108.25,0.5711952447891235,0.5404756665229797,-0.0307195782661438,-0.0646113148517705,-0.20259100665007343,0.08135144463879644
cricket,58,14341,525,1484532.0,1501360.0,0.5813214778900146,0.5775798559188843,-0.003741621971130371,-0.017566859886824708,-0.12239453920192311,0.08459356443258335
cricket,59,14655,531,1661196.25,1678497.0,0.591399610042572,0.6059682965278625,0.014568686485290527,0.014163877333445185,-0.12630611284321416,0.15285582737792688
cricket,60,16571,546,1789757.625,1808681.75,0.6010558009147644,0.6654165387153625,0.06436073780059814,0.09559086717586295,-0.008264130420921889,0.19748318096297096
cricket,61,13503,523,1626772.0,1641968.5,0.6111720204353333,0.6079845428466797,-0.0031874775886535645,-0.01434794362153116,-0.1316112411921548,0.10123107024599635
cricket,62,12137,528,1662748.75,1678772.5,0.6215217113494873,0.567272424697876,-0.05424928665161133,-0.09624903622410429,-0.23191062648469254,0.04201965918333895
cricket,63,10149,517,1356240.875,1368969.875,0.6316723823547363,0.6097064018249512,-0.021965980529785156,-0.04364515607413836,-0.18186767816916205,0.09183817377747748
cricket,64,12619,534,1559975.5,1574380.5,0.6415591835975647,0.6120686531066895,-0.029490530490875244,-0.054948012792969965,-0.1773279492092796,0.06189762419764474
cricket,65,15506,552,1687660.25,1702466.25,0.6524832248687744,0.6161632537841797,-0.03631997108459473,-0.06339201797132432,-0.17389980271916414,0.04719491792069587
cricket,66,12455,543,1430200.125,1441796.375,0.6632532477378845,0.6415378451347351,-0.021715402603149414,-0.04042910503069102,-0.22020774083965702,0.12036303692049413
cricket,67,8454,542,1257364.0,1268272.25,0.6713756918907166,0.7227907776832581,0.051415085792541504,0.06758740777554204,-0.05678148179264431,0.18190831253797807
cricket,68,11327,541,1415188.25,1426520.75,0.6818787455558777,0.7145684957504272,0.03268975019454956,0.03946823777898636,-0.06577474776115695,0.14128597030698986
cricket,69,9101,539,1389682.75,1400950.75,0.6920818090438843,0.724402129650116,0.03232032060623169,0.03807530898612857,-0.061630793416273984,0.1254688709557619
cricket,70,12407,560,1872049.0,1886068.25,0.7015295624732971,0.7299419641494751,0.02841240167617798,0.032597706107351326,-0.07150291810073126,0.13267204722231365
cricket,71,11730,534,1574104.0,1586223.5,0.7119839191436768,0.7515729665756226,0.0395890474319458,0.047525037601676784,-0.058545201436789734,0.1314018895818422
cricket,72,9359,533,1340799.0,1349919.125,0.7219545841217041,0.6826260089874268,-0.039328575134277344,-0.06098369506307176,-0.17184347772935268,0.04245174181876479
cricket,73,8682,528,1483540.625,1494495.75,0.7317430377006531,0.7171124219894409,-0.014630615711212158,-0.027256195393744295,-0.13323536726219284,0.07918266746595776
cricket,74,8590,526,1303362.375,1311246.5,0.7418181896209717,0.7269240021705627,-0.014894187450408936,-0.026110357210277078,-0.14536927111418876,0.07055325727054626
