dec,wallets,p1_z_median,p1_roi,p2_roi,p2_roi_net_fee,family
6,53.0,0.06255972637736965,0.010599996027017698,-0.06219129529191938,-0.06267234046268304,hockey
7,52.0,0.35194964476937185,0.04329892416415405,0.027735042617214566,0.027258422902655687,hockey
8,53.0,0.7252686329655993,0.12843487246275345,-0.024762119411068914,-0.027797927722923724,hockey
9,52.0,1.0599482873531678,0.10052239807488092,-0.06585320161175652,-0.06654984871824081,hockey
10,53.0,1.8231464429606283,0.1624269222478203,0.10574860119676671,0.1044769431549308,hockey
1,8.0,-1.81688147211552,-0.13729182030828466,0.013720339317468706,0.013431461372846284,american_football
2,8.0,-0.7237168367794455,-0.06736395049459198,-0.169341642647982,-0.18476419064197017,american_football
3,8.0,-0.38712312552798145,-0.03525456378942988,0.08975608981798383,0.0809560094908636,american_football
4,8.0,-0.12078857137233548,-0.005088645173489948,-0.010662128515235651,-0.01184384323715261,american_football
5,8.0,0.10539490034926446,0.00697572904866603,0.024831603569845,0.02436103812407633,american_football
6,8.0,0.20441716056777826,0.015419477468208449,-0.03631736167831129,-0.036403744176018604,american_football
7,8.0,0.5686659509986823,0.03403539423360312,0.015410579594229439,0.008663338229495771,american_football
8,8.0,0.9132823498109196,0.11767643431137187,0.17170992923792908,0.17104024448938251,american_football
9,8.0,1.4973142279221696,0.0904899280612053,0.018070963914593858,0.01770274162689815,american_football
10,8.0,2.3163789028045936,0.34676445087310104,-0.17148150705652881,-0.1754435076644156,american_football
1,7.0,-1.7202372488114852,-0.2724875010789227,0.09931807221320443,0.08981925924709347,mma_boxing
2,6.0,-0.9023555389521646,-0.240267884763625,-0.05886099269934818,-0.06413797669193672,mma_boxing
3,6.0,-0.34666402470198127,-0.08579113851147968,0.07906244002091452,0.06757114084913675,mma_boxing
4,6.0,-0.14612518608700703,-0.03266759452149788,0.027743252305881635,0.02394838413721782,mma_boxing
5,6.0,0.07176316799385318,0.01178122789959531,-0.11428946912414577,-0.1162496816601453,mma_boxing
6,6.0,0.25798516189975707,0.03907118328175314,-0.05588917487151521,-0.059235723426413894,mma_boxing
7,6.0,0.45615941180862835,0.11242814300997639,-0.10141807138444768,-0.10680660096345375,mma_boxing
